fips,count_property,count_windfactor1,count_windfactor2,count_windfactor3,count_windfactor4,count_windfactor5,count_windfactor6,count_windfactor7,count_windfactor8,count_windfactor9,count_windfactor10
01474,948,0,0,0,105,735,108,0,0,0,0
01475,4930,0,0,0,4782,135,13,0,0,0,0
01501,6541,0,0,0,0,0,6541,0,0,0,0
01503,1478,0,0,0,0,0,1478,0,0,0,0
01504,3463,0,0,0,0,0,3463,0,0,0,0
01505,2109,0,0,0,0,0,2109,0,0,0,0
01506,1560,0,0,0,0,23,1537,0,0,0,0
01507,6365,0,0,0,0,0,6365,0,0,0,0
01510,3995,0,0,0,0,0,3995,0,0,0,0
01515,1384,0,0,0,0,0,1384,0,0,0,0
01516,4370,0,0,0,0,0,4355,0,15,0,0
01518,1454,0,0,0,0,0,1454,0,0,0,0
01519,2383,0,0,0,0,0,2383,0,0,0,0
01520,6273,0,0,0,0,10,6263,0,0,0,0
01521,2360,0,0,0,0,0,2360,0,0,0,0
01522,1603,0,0,0,0,145,1458,0,0,0,0
01523,3078,0,0,0,0,31,3047,0,0,0,0
01524,3009,0,0,0,0,0,3009,0,0,0,0
01525,21,0,0,0,0,0,21,0,0,0,0
01527,5217,0,0,0,0,0,5217,0,0,0,0
01529,1283,0,0,0,0,0,1283,0,0,0,0
01531,755,0,0,0,0,327,428,0,0,0,0
01532,5472,0,0,0,0,0,5472,0,0,0,0
01534,2230,0,0,0,0,0,2230,0,0,0,0
01535,2330,0,0,0,0,115,2215,0,0,0,0
01536,2611,0,0,0,0,0,2611,0,0,0,0
01537,920,0,0,0,0,0,920,0,0,0,0
01540,4508,0,0,0,0,0,4508,0,0,0,0
01541,1919,0,0,0,0,1006,913,0,0,0,0
01542,948,0,0,0,0,0,948,0,0,0,0
01543,4185,0,0,0,0,1063,3122,0,0,0,0
01545,11438,0,0,0,0,0,11438,0,0,0,0
01550,5668,0,0,0,0,0,5668,0,0,0,0
01560,1192,0,0,0,0,0,1192,0,0,0,0
01561,19,0,0,0,0,0,19,0,0,0,0
01562,5193,0,0,0,0,34,5159,0,0,0,0
01564,3716,0,0,0,0,141,3575,0,0,0,0
01566,3060,0,0,0,0,0,3060,0,0,0,0
01568,3070,0,0,0,0,0,3070,0,0,0,0
01569,5277,0,0,0,0,0,5277,0,0,0,0
01570,6408,0,0,0,0,0,6311,72,25,0,0
01571,5096,0,0,0,0,0,5096,0,0,0,0
01581,5376,0,0,0,0,0,5376,0,0,0,0
01583,2794,0,0,0,0,0,2794,0,0,0,0
01585,3078,0,0,0,0,387,2691,0,0,0,0
01588,3184,0,0,0,0,0,3184,0,0,0,0
01590,4477,0,0,0,0,0,4476,0,1,0,0
01602,6849,0,0,0,0,0,6849,0,0,0,0
01603,4877,0,0,0,0,0,4877,0,0,0,0
01604,9002,0,0,0,0,0,9002,0,0,0,0
01605,5112,0,0,0,0,0,5112,0,0,0,0
01606,6659,0,0,0,0,0,6659,0,0,0,0
01607,2155,0,0,0,0,0,2155,0,0,0,0
01608,349,0,0,0,0,0,349,0,0,0,0
01609,3846,0,0,0,0,0,3846,0,0,0,0
01610,3304,0,0,0,0,0,3304,0,0,0,0
01611,1125,0,0,0,0,0,1125,0,0,0,0
01612,1981,0,0,0,0,13,1968,0,0,0,0
01701,11287,0,0,0,0,0,11287,0,0,0,0
01702,6703,0,0,0,0,0,6703,0,0,0,0
01718,22,0,0,0,0,0,22,0,0,0,0
01719,1751,0,0,0,0,0,1751,0,0,0,0
01720,6911,0,0,0,0,0,6911,0,0,0,0
01721,4938,0,0,0,0,0,4938,0,0,0,0
01730,4401,0,0,0,0,0,4401,0,0,0,0
01731,15,0,0,0,0,0,15,0,0,0,0
01740,2358,0,0,0,0,0,2358,0,0,0,0
01741,2142,0,0,0,0,0,2142,0,0,0,0
01742,6148,0,0,0,0,0,6148,0,0,0,0
01745,179,0,0,0,0,0,179,0,0,0,0
01746,5728,0,0,0,0,0,5728,0,0,0,0
01747,2247,0,0,0,0,0,2247,0,0,0,0
01748,5882,0,0,0,0,0,5882,0,0,0,0
01749,5895,0,0,0,0,0,5895,0,0,0,0
01752,10201,0,0,0,0,0,10201,0,0,0,0
01754,3458,0,0,0,0,0,3458,0,0,0,0
01756,2813,0,0,0,0,0,2813,0,0,0,0
01757,8858,0,0,0,0,0,8858,0,0,0,0
01760,11421,0,0,0,0,0,11421,0,0,0,0
01770,1878,0,0,0,0,0,1878,0,0,0,0
01772,3567,0,0,0,0,0,3567,0,0,0,0
01773,2331,0,0,0,0,0,2331,0,0,0,0
01775,2735,0,0,0,0,0,2735,0,0,0,0
01776,6599,0,0,0,0,0,6599,0,0,0,0
01778,5223,0,0,0,0,0,5223,0,0,0,0
01801,11410,0,0,0,0,0,11410,0,0,0,0
01803,7614,0,0,0,0,0,7614,0,0,0,0
01810,11093,0,0,0,0,0,11093,0,0,0,0
01821,10710,0,0,0,0,0,10710,0,0,0,0
01824,8720,0,0,0,0,0,8720,0,0,0,0
01826,10026,0,0,0,0,0,10026,0,0,0,0
01827,1511,0,0,0,0,380,1131,0,0,0,0
01830,7076,0,0,0,0,0,7076,0,0,0,0
01832,5865,0,0,0,0,0,5865,0,0,0,0
01833,3132,0,0,0,0,0,3132,0,0,0,0
01834,2467,0,0,0,0,0,2467,0,0,0,0
01835,4056,0,0,0,0,0,4056,0,0,0,0
01840,699,0,0,0,0,0,699,0,0,0,0
01841,6703,0,0,0,0,0,6703,0,0,0,0
01843,4770,0,0,0,0,0,4770,0,0,0,0
01844,14655,0,0,0,0,0,14655,0,0,0,0
01845,8336,0,0,0,0,0,8336,0,0,0,0
01850,3509,0,0,0,0,0,3509,0,0,0,0
01851,5855,0,0,0,0,0,5855,0,0,0,0
01852,7811,0,0,0,0,0,7811,0,0,0,0
01854,4927,0,0,0,0,0,4927,0,0,0,0
01860,2270,0,0,0,0,0,2270,0,0,0,0
01862,3582,0,0,0,0,0,3582,0,0,0,0
01863,2463,0,0,0,0,0,2463,0,0,0,0
01864,5379,0,0,0,0,0,5379,0,0,0,0
01867,7844,0,0,0,0,0,7844,0,0,0,0
01876,9440,0,0,0,0,0,9440,0,0,0,0
01879,4129,0,0,0,0,20,4109,0,0,0,0
01880,8566,0,0,0,0,0,8565,1,0,0,0
01886,8092,0,0,0,0,6,8086,0,0,0,0
01887,9129,0,0,0,0,0,9129,0,0,0,0
01890,6862,0,0,0,0,0,6862,0,0,0,0
01901,237,0,0,0,0,0,229,0,8,0,0
01902,7787,0,0,0,0,0,7448,0,339,0,0
01904,6087,0,0,0,0,0,6082,0,5,0,0
01905,5216,0,0,0,0,0,5170,0,46,0,0
01906,9707,0,0,0,0,0,9657,35,15,0,0
01907,4638,0,0,0,0,0,1496,1384,1758,0,0
01908,1398,0,0,0,0,0,403,0,995,0,0
01913,5208,0,0,0,0,0,5195,0,13,0,0
01915,11392,0,0,0,0,0,8879,0,2513,0,0
01921,3186,0,0,0,0,0,3186,0,0,0,0
01922,1180,0,0,0,0,0,1180,0,0,0,0
01923,7973,0,0,0,0,0,7888,0,85,0,0
01929,2048,0,0,0,0,0,508,0,1540,0,0
01930,13015,0,0,0,0,0,0,0,13015,0,0
01937,1,0,0,0,0,0,1,0,0,0,0
01938,5325,0,0,0,0,0,4032,26,1267,0,0
01940,4435,0,0,0,0,0,4430,0,5,0,0
01944,2344,0,0,0,0,0,117,0,2227,0,0
01945,7926,0,0,0,0,0,336,1512,6078,0,0
01949,2943,0,0,0,0,0,2943,0,0,0,0
01950,6475,0,0,0,0,0,5812,0,663,0,0
01951,2258,0,0,0,0,0,1308,0,950,0,0
01952,4355,0,0,0,0,0,2900,1,1454,0,0
01960,14302,0,0,0,0,0,13915,387,0,0,0
01965,176,0,0,0,0,0,62,0,114,0,0
01966,3995,0,0,0,0,0,0,0,3995,0,0
01969,2654,0,0,0,0,0,2522,7,125,0,0
01970,9641,0,0,0,0,0,3305,5209,1127,0,0
01982,2832,0,0,0,0,0,1748,0,1084,0,0
01983,2324,0,0,0,0,0,2324,0,0,0,0
01984,1474,0,0,0,0,0,1314,0,160,0,0
01985,1944,0,0,0,0,0,1944,0,0,0,0
02019,6114,0,0,0,0,0,6114,0,0,0,0
02021,7077,0,0,0,0,0,7072,1,4,0,0
02025,3184,0,0,0,0,0,0,0,3184,0,0
02026,8618,0,0,0,0,0,8618,0,0,0,0
02030,2506,0,0,0,0,0,2506,0,0,0,0
02032,1562,0,0,0,0,0,1562,0,0,0,0
02035,5981,0,0,0,0,0,5948,3,30,0,0
02038,9801,0,0,0,0,0,9801,0,0,0,0
02043,7615,0,0,0,0,0,1253,0,6362,0,0
02045,4794,0,0,0,0,0,6,0,4788,0,0
02047,608,0,0,0,0,0,0,0,608,0,0
02048,7293,0,0,0,0,0,7259,18,16,0,0
02050,11987,0,0,0,0,0,0,0,11987,0,0
02052,4305,0,0,0,0,0,4305,0,0,0,0
02053,4796,0,0,0,0,0,4796,0,0,0,0
02054,3155,0,0,0,0,0,3155,0,0,0,0
02056,3939,0,0,0,0,0,3939,0,0,0,0
02061,4421,0,0,0,0,0,5,0,4416,0,0
02062,8100,0,0,0,0,0,8098,1,1,0,0
02066,7920,0,0,0,0,0,0,0,7920,0,0
02067,6476,0,0,0,0,0,6316,30,130,0,0
02071,340,0,0,0,0,0,340,0,0,0,0
02072,9376,0,0,0,0,0,9376,0,0,0,0
02081,6812,0,0,0,0,0,6804,5,3,0,0
02090,5156,0,0,0,0,0,5152,4,0,0,0
02093,4565,0,0,0,0,0,4517,20,28,0,0
02108,622,0,0,0,0,0,622,0,0,0,0
02109,356,0,0,0,0,0,354,0,2,0,0
02110,180,0,0,0,0,0,173,0,7,0,0
02111,439,0,0,0,0,0,439,0,0,0,0
02113,916,0,0,0,0,0,916,0,0,0,0
02114,1071,0,0,0,0,0,1070,0,1,0,0
02115,1218,0,0,0,0,0,1218,0,0,0,0
02116,2144,0,0,0,0,0,2144,0,0,0,0
02118,2322,0,0,0,0,0,2322,0,0,0,0
02119,4777,0,0,0,0,0,4777,0,0,0,0
02120,1370,0,0,0,0,0,1370,0,0,0,0
02121,3744,0,0,0,0,0,3744,0,0,0,0
02122,4635,0,0,0,0,0,4634,0,1,0,0
02124,9071,0,0,0,0,0,9071,0,0,0,0
02125,5496,0,0,0,0,0,5491,0,5,0,0
02126,4533,0,0,0,0,0,4533,0,0,0,0
02127,6293,0,0,0,0,0,6212,0,81,0,0
02128,6518,0,0,0,0,0,6320,0,198,0,0
02129,3075,0,0,0,0,0,3063,0,12,0,0
02130,6445,0,0,0,0,0,6445,0,0,0,0
02131,6883,0,0,0,0,0,6883,0,0,0,0
02132,9580,0,0,0,0,0,9580,0,0,0,0
02133,10,0,0,0,0,0,10,0,0,0,0
02134,2142,0,0,0,0,0,2142,0,0,0,0
02135,5262,0,0,0,0,0,5262,0,0,0,0
02136,8214,0,0,0,0,0,8214,0,0,0,0
02138,4611,0,0,0,0,0,4611,0,0,0,0
02139,3921,0,0,0,0,0,3918,0,3,0,0
02140,2623,0,0,0,0,0,2623,0,0,0,0
02141,1644,0,0,0,0,0,1644,0,0,0,0
02142,119,0,0,0,0,0,114,0,5,0,0
02143,4374,0,0,0,0,0,4374,0,0,0,0
02144,4606,0,0,0,0,0,4606,0,0,0,0
02145,4306,0,0,0,0,0,4306,0,0,0,0
02148,11595,0,0,0,0,0,11595,0,0,0,0
02149,7904,0,0,0,0,0,7902,0,2,0,0
02150,4869,0,0,0,0,0,4840,0,29,0,0
02151,12772,0,0,0,0,0,12171,53,548,0,0
02152,4588,0,0,0,0,0,3066,0,1522,0,0
02155,14810,0,0,0,0,0,14810,0,0,0,0
02163,7,0,0,0,0,0,7,0,0,0,0
02169,12461,0,0,0,0,0,10753,0,1708,0,0
02170,4843,0,0,0,0,0,4842,0,1,0,0
02171,3966,0,0,0,0,0,3808,0,158,0,0
02176,8418,0,0,0,0,0,8418,0,0,0,0
02180,6318,0,0,0,0,0,6317,0,1,0,0
02184,11653,0,0,0,0,0,11364,0,289,0,0
02186,8530,0,0,0,0,0,8530,0,0,0,0
02188,4241,0,0,0,0,0,4154,0,87,0,0
02189,4223,0,0,0,0,0,2980,0,1243,0,0
02190,5368,0,0,0,0,0,5134,0,234,0,0
02191,3041,0,0,0,0,0,2090,0,951,0,0
02199,13,0,0,0,0,0,13,0,0,0,0
02203,1,0,0,0,0,0,1,0,0,0,0
02205,8,0,0,0,0,0,8,0,0,0,0
02210,353,0,0,0,0,0,353,0,0,0,0
02215,886,0,0,0,0,0,886,0,0,0,0
02301,14547,0,0,0,0,0,14546,1,0,0,0
02302,10579,0,0,0,0,0,10576,3,0,0,0
02322,1929,0,0,0,0,0,1929,0,0,0,0
02324,8056,0,0,0,0,0,6311,1393,352,0,0
02325,45,0,0,0,0,0,1,44,0,0,0
02330,4614,0,0,0,0,0,70,89,4455,0,0
02332,6231,0,0,0,0,0,0,0,6231,0,0
02333,6066,0,0,0,0,0,3766,1968,332,0,0
02338,3041,0,0,0,0,0,759,100,2182,0,0
02339,5165,0,0,0,0,0,102,447,4616,0,0
02341,3971,0,0,0,0,0,356,898,2717,0,0
02343,4824,0,0,0,0,0,4824,0,0,0,0
02346,9360,0,0,0,0,0,5728,657,2975,0,0
02347,5051,0,0,0,0,0,1432,1101,2518,0,0
02350,121,0,0,0,0,0,1,0,120,0,0
02351,5202,0,0,0,0,0,4343,823,36,0,0
02356,4510,0,0,0,0,0,4510,0,0,0,0
02357,1,0,0,0,0,0,1,0,0,0,0
02359,6674,0,0,0,0,0,0,2,6672,0,0
02360,26052,0,0,0,0,0,0,10,26042,0,0
02364,5488,0,0,0,0,0,2,114,5372,0,0
02366,,0,0,0,0,0,0,0,0,0,0
02367,1399,0,0,0,0,0,175,100,1124,0,0
02368,9272,0,0,0,0,0,9271,0,1,0,0
02370,5268,0,0,0,0,0,926,1325,3017,0,0
02375,3446,0,0,0,0,0,3439,3,4,0,0
02379,3146,0,0,0,0,0,3091,30,25,0,0
02382,4720,0,0,0,0,0,2616,1949,155,0,0
02420,5018,0,0,0,0,0,5018,0,0,0,0
02421,6357,0,0,0,0,0,6357,0,0,0,0
02445,3381,0,0,0,0,0,3381,0,0,0,0
02446,2805,0,0,0,0,0,2805,0,0,0,0
02451,5020,0,0,0,0,0,5020,0,0,0,0
02452,2348,0,0,0,0,0,2348,0,0,0,0
02453,5951,0,0,0,0,0,5951,0,0,0,0
02457,4,0,0,0,0,0,4,0,0,0,0
02458,3409,0,0,0,0,0,3409,0,0,0,0
02459,5706,0,0,0,0,0,5706,0,0,0,0
02460,2450,0,0,0,0,0,2450,0,0,0,0
02461,2383,0,0,0,0,0,2383,0,0,0,0
02462,494,0,0,0,0,0,494,0,0,0,0
02464,770,0,0,0,0,0,770,0,0,0,0
02465,3873,0,0,0,0,0,3873,0,0,0,0
02466,1833,0,0,0,0,0,1833,0,0,0,0
02467,3686,0,0,0,0,0,3686,0,0,0,0
02468,2046,0,0,0,0,0,2046,0,0,0,0
02472,7732,0,0,0,0,0,7732,0,0,0,0
02474,7472,0,0,0,0,0,7472,0,0,0,0
02476,5134,0,0,0,0,0,5134,0,0,0,0
02478,7292,0,0,0,0,0,7292,0,0,0,0
02481,5033,0,0,0,0,0,5033,0,0,0,0
02482,3340,0,0,0,0,0,3340,0,0,0,0
02492,6767,0,0,0,0,0,6767,0,0,0,0
02493,4068,0,0,0,0,0,4068,0,0,0,0
02494,3010,0,0,0,0,0,3010,0,0,0,0
02532,6324,0,0,0,0,0,0,0,6324,0,0
02534,945,0,0,0,0,0,0,0,945,0,0
02535,3583,0,0,0,0,0,0,0,3583,0,0
02536,13173,0,0,0,0,0,0,0,13173,0,0
02537,3732,0,0,0,0,0,0,0,3732,0,0
02538,2219,0,0,0,0,0,0,0,2219,0,0
02539,6301,0,0,0,0,0,0,0,6287,14,0
02540,6089,0,0,0,0,0,0,0,6089,0,0
02542,7,0,0,0,0,0,0,0,7,0,0
02543,928,0,0,0,0,0,0,0,928,0,0
02553,154,0,0,0,0,0,0,0,154,0,0
02554,12102,0,0,0,0,0,0,0,11356,746,0
02556,3002,0,0,0,0,0,0,0,3002,0,0
02557,2986,0,0,0,0,0,0,0,2986,0,0
02558,1693,0,0,0,0,0,0,0,1693,0,0
02559,2837,0,0,0,0,0,0,0,2837,0,0
02561,355,0,0,0,0,0,0,0,355,0,0
02562,1793,0,0,0,0,0,0,0,1793,0,0
02563,5021,0,0,0,0,0,0,0,5021,0,0
02564,1448,0,0,0,0,0,0,0,1206,242,0
02568,5701,0,0,0,0,0,0,0,5701,0,0
