fips,count_property,count_heatfactor1,count_heatfactor2,count_heatfactor3,count_heatfactor4,count_heatfactor5,count_heatfactor6,count_heatfactor7,count_heatfactor8,count_heatfactor9,count_heatfactor10
01469,2854,0,0,1549,1304,1,0,0,0,0,0
01473,3903,0,1254,2645,4,0,0,0,0,0,0
01474,948,0,0,764,184,0,0,0,0,0,0
01475,4930,0,3908,1022,0,0,0,0,0,0,0
01501,6541,0,0,1996,4534,11,0,0,0,0,0
01503,1478,0,0,143,1312,21,2,0,0,0,0
01504,3463,0,0,11,2574,878,0,0,0,0,0
01505,2109,0,0,1048,1061,0,0,0,0,0,0
01506,1560,0,15,1544,1,0,0,0,0,0,0
01507,6365,0,34,6257,74,0,0,0,0,0,0
01510,3995,0,0,7,3603,383,2,0,0,0,0
01515,1384,0,10,1297,77,0,0,0,0,0,0
01516,4370,0,0,2440,1924,6,0,0,0,0,0
01518,1454,0,68,1348,38,0,0,0,0,0,0
01519,2383,0,0,141,2241,1,0,0,0,0,0
01520,6273,0,19,6019,235,0,0,0,0,0,0
01521,2360,0,81,2279,0,0,0,0,0,0,0
01522,1603,0,16,1529,58,0,0,0,0,0,0
01523,3078,0,0,458,2612,8,0,0,0,0,0
01524,3009,0,105,2904,0,0,0,0,0,0,0
01525,21,0,0,0,21,0,0,0,0,0,0
01527,5217,0,0,1051,4163,3,0,0,0,0,0
01529,1283,0,0,41,1242,0,0,0,0,0,0
01531,755,0,80,673,2,0,0,0,0,0,0
01532,5472,0,0,129,5132,206,5,0,0,0,0
01534,2230,0,0,31,2110,89,0,0,0,0,0
01535,2330,0,50,2267,13,0,0,0,0,0,0
01536,2611,0,0,46,2562,3,0,0,0,0,0
01537,920,0,0,811,109,0,0,0,0,0,0
01540,4508,0,0,2475,2033,0,0,0,0,0,0
01541,1919,1,446,1466,6,0,0,0,0,0,0
01542,948,0,0,940,8,0,0,0,0,0,0
01543,4185,0,510,3675,0,0,0,0,0,0,0
01545,11438,0,0,949,10450,39,0,0,0,0,0
01550,5668,0,3,3297,2367,1,0,0,0,0,0
01560,1192,0,0,19,1141,32,0,0,0,0,0
01561,19,0,0,0,16,3,0,0,0,0,0
01562,5193,0,36,5076,81,0,0,0,0,0,0
01564,3716,0,1,2072,1642,1,0,0,0,0,0
01566,3060,0,12,2988,60,0,0,0,0,0,0
01568,3070,0,0,114,2915,41,0,0,0,0,0
01569,5277,0,0,109,4849,319,0,0,0,0,0
01570,6408,0,0,2166,4241,1,0,0,0,0,0
01571,5096,0,0,3226,1870,0,0,0,0,0,0
01581,5376,0,0,92,4918,366,0,0,0,0,0
01583,2794,0,0,1251,1543,0,0,0,0,0,0
01585,3078,0,281,2734,63,0,0,0,0,0,0
01588,3184,0,0,8,2992,184,0,0,0,0,0
01590,4477,0,0,2342,2129,6,0,0,0,0,0
01602,6849,0,0,2468,4381,0,0,0,0,0,0
01603,4877,0,0,1054,3811,12,0,0,0,0,0
01604,9002,0,0,166,8798,38,0,0,0,0,0
01605,5112,0,0,1451,3640,21,0,0,0,0,0
01606,6659,0,0,1624,5019,16,0,0,0,0,0
01607,2155,0,0,263,1876,16,0,0,0,0,0
01608,349,0,0,0,296,53,0,0,0,0,0
01609,3846,0,0,1683,2157,6,0,0,0,0,0
01610,3304,0,0,102,3160,42,0,0,0,0,0
01611,1125,0,0,1089,36,0,0,0,0,0,0
01612,1981,0,247,1734,0,0,0,0,0,0,0
01701,11287,0,0,6,2455,8779,47,0,0,0,0
01702,6703,0,0,0,986,5355,362,0,0,0,0
01718,22,0,0,0,20,2,0,0,0,0,0
01719,1751,0,0,2,1711,38,0,0,0,0,0
01720,6911,0,0,0,6079,824,8,0,0,0,0
01721,4938,0,0,0,3693,1238,7,0,0,0,0
01730,4401,0,0,0,755,3615,31,0,0,0,0
01731,15,0,0,0,0,9,5,1,0,0,0
01740,2358,0,0,194,2159,5,0,0,0,0,0
01741,2142,0,0,0,1937,205,0,0,0,0,0
01742,6148,0,0,0,1489,4641,18,0,0,0,0
01745,179,0,0,0,155,24,0,0,0,0,0
01746,5728,0,0,0,4954,773,1,0,0,0,0
01747,2247,0,0,0,2166,81,0,0,0,0,0
01748,5882,0,0,83,5765,34,0,0,0,0,0
01749,5895,0,0,0,3993,1901,1,0,0,0,0
01752,10201,0,0,0,9068,1131,2,0,0,0,0
01754,3458,0,0,0,1081,2372,5,0,0,0,0
01756,2813,0,0,60,2746,7,0,0,0,0,0
01757,8858,0,0,19,7542,1295,2,0,0,0,0
01760,11421,0,0,0,40,11060,321,0,0,0,0
01770,1878,0,0,0,1055,823,0,0,0,0,0
01772,3567,0,0,0,3448,118,1,0,0,0,0
01773,2331,0,0,0,710,1620,1,0,0,0,0
01775,2735,0,0,0,2539,196,0,0,0,0,0
01776,6599,0,0,0,3223,3363,13,0,0,0,0
01778,5223,0,0,0,506,4704,13,0,0,0,0
01801,11410,0,0,0,84,10048,1267,10,1,0,0
01803,7614,0,0,0,51,7369,192,2,0,0,0
01810,11093,0,0,0,6362,4708,22,1,0,0,0
01821,10710,0,0,0,2485,8194,29,2,0,0,0
01824,8720,0,0,0,7491,1221,7,1,0,0,0
01826,10026,0,0,0,9218,808,0,0,0,0,0
01827,1511,0,0,65,1446,0,0,0,0,0,0
